bt_get_commits called! tips_len: 219, date_order: 1
Initial Ready: index: 1758, time: 1552948239, oid: BtOid { s0: 1293116697, s1: 2733277140, s2: 1937736791, s3: 3311811605, s4: 4127344850 }
Initial Ready: index: 1772, time: 1537785776, oid: BtOid { s0: 677203175, s1: 276011768, s2: 666542168, s3: 3667755240, s4: 770490182 }
Initial Ready: index: 1773, time: 1759261453, oid: BtOid { s0: 228476978, s1: 1662305361, s2: 644670182, s3: 966761391, s4: 587753027 }
Initial Ready: index: 1778, time: 1661807094, oid: BtOid { s0: 1989462529, s1: 3769648533, s2: 3842725395, s3: 790785601, s4: 1924686466 }
Initial Ready: index: 1792, time: 1661635325, oid: BtOid { s0: 1712695314, s1: 3116252095, s2: 1139745559, s3: 914135042, s4: 1585667787 }
Initial Ready: index: 1794, time: 1661761230, oid: BtOid { s0: 3272456943, s1: 1265176261, s2: 2956687916, s3: 1767149348, s4: 1158772423 }
Initial Ready: index: 1795, time: 1661807198, oid: BtOid { s0: 1310411394, s1: 3293190887, s2: 305574627, s3: 1013354206, s4: 1039683529 }
Initial Ready: index: 1796, time: 1661117196, oid: BtOid { s0: 1287583276, s1: 883298458, s2: 3267220262, s3: 1923299571, s4: 735334207 }
Initial Ready: index: 1799, time: 1681898008, oid: BtOid { s0: 4092499602, s1: 2013013352, s2: 1346430315, s3: 2339066489, s4: 3794726927 }
Initial Ready: index: 1805, time: 1774001930, oid: BtOid { s0: 2131224667, s1: 85811002, s2: 4144959831, s3: 215851032, s4: 3559841225 }
Initial Ready: index: 1808, time: 1706515009, oid: BtOid { s0: 977917788, s1: 1288771805, s2: 3924813554, s3: 3550257924, s4: 2222203875 }
Initial Ready: index: 1810, time: 1744186371, oid: BtOid { s0: 664053695, s1: 2164642817, s2: 1808790682, s3: 3048940958, s4: 809812523 }
Initial Ready: index: 1811, time: 1756191439, oid: BtOid { s0: 4127040027, s1: 2879029592, s2: 844722746, s3: 1155641634, s4: 3545808753 }
Initial Ready: index: 1813, time: 1774990278, oid: BtOid { s0: 4072376324, s1: 2471089740, s2: 2412568413, s3: 26347704, s4: 4132890906 }
Initial Ready: index: 1816, time: 1706011164, oid: BtOid { s0: 2113406330, s1: 843946644, s2: 1650817844, s3: 3626711975, s4: 3307012991 }
Initial Ready: index: 1823, time: 1764929063, oid: BtOid { s0: 1158513368, s1: 4228263269, s2: 3301228677, s3: 3217910217, s4: 2907596956 }
Initial Ready: index: 1826, time: 1758659053, oid: BtOid { s0: 2992146507, s1: 2079267807, s2: 3530654222, s3: 1821465405, s4: 3938387045 }
Initial Ready: index: 1828, time: 1758619272, oid: BtOid { s0: 3897923285, s1: 4247753903, s2: 1129597190, s3: 1148836364, s4: 3838139568 }
Initial Ready: index: 1830, time: 1774341946, oid: BtOid { s0: 1175269608, s1: 3704923186, s2: 399303380, s3: 3532705, s4: 3682917539 }
Initial Ready: index: 1833, time: 1774518716, oid: BtOid { s0: 1274924278, s1: 741767735, s2: 525607409, s3: 3413847701, s4: 4108555725 }
Initial Ready: index: 1836, time: 1760281735, oid: BtOid { s0: 2661346510, s1: 734323891, s2: 44675347, s3: 3136090024, s4: 1674859790 }
Initial Ready: index: 1847, time: 1756489536, oid: BtOid { s0: 2036588176, s1: 739430338, s2: 1034620712, s3: 2382263881, s4: 2329658424 }
Initial Ready: index: 1851, time: 1760281630, oid: BtOid { s0: 642905974, s1: 1131964740, s2: 1999903826, s3: 3431871137, s4: 1620191 }
Initial Ready: index: 1862, time: 1751010803, oid: BtOid { s0: 3621102475, s1: 176791269, s2: 385948240, s3: 1869459318, s4: 2915543397 }
Initial Ready: index: 1863, time: 1701295262, oid: BtOid { s0: 2603263364, s1: 1103533259, s2: 69244341, s3: 2989588238, s4: 1057963661 }
Initial Ready: index: 1874, time: 1682510883, oid: BtOid { s0: 874743446, s1: 369687385, s2: 1079708182, s3: 2120982233, s4: 2707075674 }
Initial Ready: index: 1882, time: 1771407255, oid: BtOid { s0: 643524879, s1: 2074998411, s2: 1743178014, s3: 1887683638, s4: 112938008 }
Initial Ready: index: 1891, time: 1754660561, oid: BtOid { s0: 1892843991, s1: 1243913259, s2: 2187930910, s3: 505708885, s4: 1022887529 }
Initial Ready: index: 1899, time: 1770989705, oid: BtOid { s0: 3862523680, s1: 2975744180, s2: 3856793303, s3: 3768145180, s4: 1191113166 }
Initial Ready: index: 1900, time: 1756489536, oid: BtOid { s0: 2367309433, s1: 1290018873, s2: 3814847929, s3: 1239837549, s4: 853963418 }
Initial Ready: index: 1903, time: 1690970304, oid: BtOid { s0: 1346639831, s1: 1112916419, s2: 662857771, s3: 790485579, s4: 3333774161 }
Initial Ready: index: 1906, time: 1773403295, oid: BtOid { s0: 3908048521, s1: 3395486241, s2: 3075695054, s3: 959802581, s4: 2442264781 }
Initial Ready: index: 1909, time: 1763894682, oid: BtOid { s0: 756167636, s1: 1190086356, s2: 1653721726, s3: 521500341, s4: 2117811510 }
Initial Ready: index: 1912, time: 1707058156, oid: BtOid { s0: 2875969695, s1: 618109914, s2: 4130730303, s3: 840437583, s4: 1693156452 }
Initial Ready: index: 1918, time: 1707224966, oid: BtOid { s0: 2456819176, s1: 4177640134, s2: 1772831509, s3: 475003475, s4: 3314800170 }
Initial Ready: index: 1920, time: 1663096996, oid: BtOid { s0: 137864108, s1: 2471072159, s2: 632865869, s3: 1704349166, s4: 2757571476 }
Initial Ready: index: 1928, time: 1709717690, oid: BtOid { s0: 2108572953, s1: 2028744830, s2: 2470853339, s3: 1781762277, s4: 564545334 }
Initial Ready: index: 1934, time: 1708727303, oid: BtOid { s0: 852319879, s1: 3329432487, s2: 1528589940, s3: 1764296869, s4: 3541825411 }
Initial Ready: index: 1936, time: 1744194795, oid: BtOid { s0: 3615087994, s1: 2667832720, s2: 2305767796, s3: 1030296764, s4: 576750829 }
Initial Ready: index: 1938, time: 1708527955, oid: BtOid { s0: 4231646182, s1: 1378447190, s2: 454380600, s3: 3930192873, s4: 438021244 }
Initial Ready: index: 1944, time: 1512329067, oid: BtOid { s0: 3256035508, s1: 174413503, s2: 3548399838, s3: 2688937612, s4: 2725536861 }
Initial Ready: index: 1948, time: 1678570594, oid: BtOid { s0: 3147518587, s1: 3557766512, s2: 3539404603, s3: 3514500294, s4: 3815713406 }
Initial Ready: index: 1949, time: 1515506108, oid: BtOid { s0: 3801026046, s1: 2819762278, s2: 3425772757, s3: 752580574, s4: 4174164153 }
Initial Ready: index: 1950, time: 1753800126, oid: BtOid { s0: 537905772, s1: 3689251876, s2: 3402910689, s3: 505820548, s4: 3416432819 }
Initial Ready: index: 1959, time: 1753802359, oid: BtOid { s0: 333765165, s1: 389380880, s2: 714910271, s3: 2802086963, s4: 4229555592 }
Initial Ready: index: 1969, time: 1723728821, oid: BtOid { s0: 3403860440, s1: 397113752, s2: 3167301883, s3: 3906324793, s4: 2386850508 }
Initial Ready: index: 1975, time: 1726225322, oid: BtOid { s0: 2537153858, s1: 3010709829, s2: 3098491353, s3: 3387313054, s4: 2765113633 }
Initial Ready: index: 1979, time: 1668202376, oid: BtOid { s0: 1699082478, s1: 3309951652, s2: 1170223895, s3: 166599759, s4: 4167444741 }
Initial Ready: index: 1999, time: 1668378621, oid: BtOid { s0: 470292994, s1: 3195816730, s2: 1403997620, s3: 1373600744, s4: 1095448511 }
Initial Ready: index: 2005, time: 1741983809, oid: BtOid { s0: 110622149, s1: 831558893, s2: 3555540514, s3: 3615190448, s4: 1772321688 }
Initial Ready: index: 2007, time: 1756987857, oid: BtOid { s0: 2680467930, s1: 3330008397, s2: 2672926869, s3: 265273899, s4: 2792584822 }
Initial Ready: index: 2008, time: 1701816246, oid: BtOid { s0: 3115816924, s1: 379361276, s2: 3006516844, s3: 1275577987, s4: 3460823672 }
Initial Ready: index: 2011, time: 1701816246, oid: BtOid { s0: 4258583433, s1: 3206563437, s2: 250741500, s3: 2513504992, s4: 3900980422 }
Initial Ready: index: 2013, time: 1747991226, oid: BtOid { s0: 2293317935, s1: 1002540441, s2: 3956588641, s3: 560311754, s4: 2066809263 }
Initial Ready: index: 2025, time: 1757595129, oid: BtOid { s0: 2173239441, s1: 126547409, s2: 2628901503, s3: 67116393, s4: 3741923132 }
Initial Ready: index: 2027, time: 1752614996, oid: BtOid { s0: 601060733, s1: 1993275583, s2: 2205770617, s3: 2343656429, s4: 4098077801 }
Initial Ready: index: 2032, time: 1754657372, oid: BtOid { s0: 1377197391, s1: 3610151296, s2: 2979120476, s3: 397433185, s4: 2443572857 }
bt_get_commits called! tips_len: 3, date_order: 1
Initial Ready: index: 0, time: 1778811768, oid: BtOid { s0: 2268433606, s1: 1257654757, s2: 273358744, s3: 4251327896, s4: 3734435208 }
bt_get_commits called! tips_len: 1, date_order: 0
bt_get_commits called! tips_len: 218, date_order: 0
Initial Ready: index: 0, time: 1552309282, oid: BtOid { s0: 3588460762, s1: 1350130137, s2: 132688746, s3: 2724660986, s4: 3398642339 }
Initial Ready: index: 442, time: 1757595129, oid: BtOid { s0: 2173239441, s1: 126547409, s2: 2628901503, s3: 67116393, s4: 3741923132 }
Initial Ready: index: 1327, time: 1777658109, oid: BtOid { s0: 478035705, s1: 1334249435, s2: 1661721871, s3: 879255624, s4: 3938319151 }
Initial Ready: index: 1415, time: 1779182860, oid: BtOid { s0: 2329678292, s1: 3475489328, s2: 460884916, s3: 1941029274, s4: 3721555291 }
Initial Ready: index: 1419, time: 1741983809, oid: BtOid { s0: 110622149, s1: 831558893, s2: 3555540514, s3: 3615190448, s4: 1772321688 }
Initial Ready: index: 1421, time: 1552948239, oid: BtOid { s0: 1293116697, s1: 2733277140, s2: 1937736791, s3: 3311811605, s4: 4127344850 }
Initial Ready: index: 1435, time: 1758743971, oid: BtOid { s0: 2553094734, s1: 2664261175, s2: 1147081163, s3: 548438900, s4: 2494350512 }
